epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.8306,1.23796,3.88789,1.75389,0.00539,1,0.31022,0.16081,1.09879,4.57676,2.15334,7.14e-06,7.14e-06,7.14e-06
2,14.8298,1.24869,3.90858,1.77963,0.00526,1,0.25858,0.11787,1.0579,4.59166,2.06508,2.12079e-05,2.12079e-05,2.12079e-05
3,21.4025,1.20406,3.87765,1.70759,0.00517,1,0.2233,0.10716,1.0127,4.64857,2.00928,3.49931e-05,3.49931e-05,3.49931e-05
4,28.3982,0.9626,3.83417,1.52749,0.00523,1,0.22298,0.11048,0.88774,4.62129,1.87945,4.84956e-05,4.84956e-05,4.84956e-05
5,35.4943,1.00964,3.8564,1.55921,0.00536,1,0.27953,0.16098,0.9181,4.49708,1.77506,6.17153e-05,6.17153e-05,6.17153e-05
6,42.2358,0.73872,3.58356,1.28163,0.00546,1,0.20549,0.15507,0.75639,4.48497,1.60747,7.46523e-05,7.46523e-05,7.46523e-05
7,49.0973,0.99269,3.74698,1.55591,0.00581,1,0.17662,0.12475,0.89118,4.4457,1.78539,8.73065e-05,8.73065e-05,8.73065e-05
8,55.6777,0.87311,3.73155,1.43183,0.00607,1,0.22649,0.16811,0.99775,4.49123,1.85777,9.9678e-05,9.9678e-05,9.9678e-05
9,62.9411,0.85877,3.67002,1.35649,0.00609,1,0.26128,0.185,0.9418,4.51497,1.80175,0.000111767,0.000111767,0.000111767
