epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.1668,1.50733,4.28212,1.933,0,0,0,0,1.44574,5.36669,2.17586,3e-05,3e-05,3e-05
2,65.895,1.31333,4.18688,1.75223,0,0,0,0,1.09619,4.98948,1.67942,6.3713e-05,6.3713e-05,6.3713e-05
3,97.3562,1.18951,4.08814,1.61345,0.06667,0.03333,0.05,0.005,1.07321,4.90502,1.63518,9.604e-05,9.604e-05,9.604e-05
4,128.764,1.12587,3.99076,1.52225,0.00797,0.08889,0.05292,0.02983,1.07568,4.85715,1.58583,0.000126981,0.000126981,0.000126981
5,159.073,1.10011,3.81456,1.50055,0.02885,0.7,0.12878,0.08048,1.0723,4.73577,1.53331,0.000156536,0.000156536,0.000156536
6,189.346,1.02291,3.69501,1.46248,0.03188,0.75556,0.18139,0.12361,1.12199,4.68216,1.60608,0.000184705,0.000184705,0.000184705
7,220.924,1.0426,3.52983,1.42145,0.0337,0.8,0.23072,0.16296,1.16282,4.6889,1.67966,0.000211488,0.000211488,0.000211488
8,251.087,1.0613,3.48136,1.42737,0.02432,0.8,0.21118,0.14832,1.24613,4.58722,1.74011,0.000236885,0.000236885,0.000236885
9,282.396,1.05173,3.4204,1.43029,0.0216,0.83333,0.26601,0.17838,1.29126,4.41532,1.78845,0.000260896,0.000260896,0.000260896
10,313.732,1.0026,3.25226,1.4066,0.02129,0.83333,0.26654,0.16454,1.25258,4.3623,1.79886,0.000283521,0.000283521,0.000283521
11,344.464,1.04412,3.17289,1.41368,0.01811,0.83333,0.34998,0.21739,1.29414,4.30778,1.82808,0.00030476,0.00030476,0.00030476
12,375.287,1.06131,3.16615,1.48882,0.45974,0.31705,0.35342,0.20493,1.46472,4.16457,2.05901,0.000324613,0.000324613,0.000324613
13,405.62,0.95938,3.0078,1.3763,0.49346,0.23333,0.31475,0.1555,1.44015,4.159,2.03158,0.00034308,0.00034308,0.00034308
14,436.264,1.03156,2.93715,1.44583,0.85369,0.2209,0.34697,0.19462,1.37789,4.07604,1.95187,0.000360161,0.000360161,0.000360161
15,466.458,1.01611,2.86362,1.42883,0.36948,0.39608,0.41998,0.24594,1.39752,4.04932,1.92493,0.0003614,0.0003614,0.0003614
16,497.147,1.05486,2.84903,1.44149,0.34971,0.31709,0.38344,0.22497,1.47027,4.11099,1.95906,0.0003515,0.0003515,0.0003515
17,528.182,0.97821,2.8717,1.42299,0.38069,0.36256,0.41388,0.23777,1.52358,4.11038,2.03176,0.0003416,0.0003416,0.0003416
18,559.857,0.94798,2.7274,1.39384,0.23508,0.43154,0.41061,0.23989,1.50338,4.00762,2.03813,0.0003317,0.0003317,0.0003317
19,591.551,0.90792,2.54657,1.29628,0.21653,0.42222,0.40928,0.23268,1.42009,3.95144,2.03939,0.0003218,0.0003218,0.0003218
20,622.962,0.94941,2.59583,1.37753,0.22933,0.55051,0.44423,0.24362,1.47832,3.83215,2.10424,0.0003119,0.0003119,0.0003119
21,654.578,0.95141,2.50925,1.33932,0.28133,0.64093,0.45769,0.26089,1.57011,3.81435,2.16909,0.000302,0.000302,0.000302
