epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,685.116,0.96118,2.48155,1.32916,0.31626,0.65556,0.50848,0.27372,1.59797,3.79779,2.20244,0.0002921,0.0002921,0.0002921
23,715.726,0.90376,2.42351,1.32394,0.33586,0.59799,0.48412,0.27782,1.54893,3.65128,2.14694,0.0002822,0.0002822,0.0002822
24,746.72,0.96402,2.46051,1.38019,0.24543,0.80527,0.50736,0.29279,1.54002,3.45218,2.13128,0.0002723,0.0002723,0.0002723
25,777.057,0.90663,2.379,1.31328,0.2332,0.73428,0.4844,0.27236,1.54299,3.43164,2.12645,0.0002624,0.0002624,0.0002624
26,807.725,0.88882,2.39394,1.30012,0.51217,0.43477,0.50186,0.29595,1.51555,3.36741,2.09648,0.0002525,0.0002525,0.0002525
27,838.796,0.89608,2.30333,1.31278,0.41704,0.64444,0.57898,0.32842,1.47883,3.27781,2.07446,0.0002426,0.0002426,0.0002426
28,873.79,0.89112,2.27384,1.33503,0.34183,0.57778,0.48639,0.2733,1.56113,3.30227,2.15002,0.0002327,0.0002327,0.0002327
29,904.478,0.8876,2.21598,1.31261,0.34353,0.6,0.47354,0.26959,1.58109,3.3309,2.17563,0.0002228,0.0002228,0.0002228
30,935.406,0.86265,2.14945,1.28364,0.22039,0.60022,0.48794,0.29543,1.52897,3.44911,2.11171,0.0002129,0.0002129,0.0002129
31,966.321,0.83947,2.22237,1.22571,0.2461,0.7,0.47378,0.28364,1.43455,3.54488,1.99546,0.000203,0.000203,0.000203
32,997.084,0.81025,2.07837,1.24222,0.24711,0.5949,0.48593,0.29459,1.39379,3.47551,1.9426,0.0001931,0.0001931,0.0001931
33,1028.23,0.82497,2.09422,1.26857,0.34011,0.53025,0.5365,0.32021,1.40519,3.44662,1.95054,0.0001832,0.0001832,0.0001832
34,1058.48,0.86419,2.08057,1.26874,0.28801,0.49616,0.51043,0.29663,1.44655,3.46505,2.00795,0.0001733,0.0001733,0.0001733
35,1088.93,0.83814,2.05045,1.25451,0.34023,0.49764,0.51234,0.29878,1.54062,3.42102,2.08871,0.0001634,0.0001634,0.0001634
36,1119.37,0.86673,2.07805,1.25608,0.21829,0.52822,0.51413,0.30181,1.53383,3.33995,2.05678,0.0001535,0.0001535,0.0001535
37,1150.29,0.8403,2.05202,1.26354,0.30024,0.50555,0.52559,0.30646,1.53652,3.19698,2.04143,0.0001436,0.0001436,0.0001436
38,1181.7,0.79436,2.07735,1.21507,0.2481,0.70169,0.5147,0.31104,1.52559,3.07089,2.05193,0.0001337,0.0001337,0.0001337
39,1212.33,0.77268,1.92997,1.19208,0.42587,0.52548,0.55271,0.34319,1.46429,3.08806,2.02715,0.0001238,0.0001238,0.0001238
40,1242.7,0.78716,1.94675,1.21904,0.41781,0.66864,0.57337,0.33148,1.52244,3.08793,2.11387,0.0001139,0.0001139,0.0001139
41,1273.32,0.66047,2.38849,1.22234,0.41897,0.6782,0.57783,0.32392,1.55683,3.10928,2.1648,0.000104,0.000104,0.000104
42,1303.9,0.64188,2.21892,1.21469,0.41778,0.582,0.64104,0.34258,1.63722,3.24554,2.25969,9.41e-05,9.41e-05,9.41e-05
43,1334.27,0.58061,2.21835,1.15026,0.41613,0.44828,0.57276,0.28057,1.68338,3.4028,2.29441,8.42e-05,8.42e-05,8.42e-05
44,1364.62,0.64768,2.31933,1.13375,0.49339,0.48562,0.60789,0.304,1.61535,3.42573,2.25638,7.43e-05,7.43e-05,7.43e-05
45,1394.85,0.58426,2.17261,1.11736,0.41382,0.53333,0.6078,0.31435,1.58407,3.33164,2.22205,6.44e-05,6.44e-05,6.44e-05
46,1425.13,0.57617,2.10948,1.14389,0.36564,0.55556,0.61729,0.33665,1.53721,3.13637,2.1762,5.45e-05,5.45e-05,5.45e-05
47,1455.56,0.57459,2.08589,1.14831,0.34189,0.66029,0.62556,0.34681,1.4948,3.04219,2.13762,4.46e-05,4.46e-05,4.46e-05
48,1485.6,0.55856,1.9893,1.10294,0.36592,0.65789,0.62073,0.35186,1.48354,3.0141,2.12802,3.47e-05,3.47e-05,3.47e-05
49,1515.55,0.52842,1.98439,1.10316,0.43359,0.64062,0.6174,0.3471,1.48067,3.01076,2.12633,2.48e-05,2.48e-05,2.48e-05
50,1546.66,0.52669,1.9884,1.08961,0.44333,0.65503,0.62389,0.34963,1.48212,2.98746,2.12516,1.49e-05,1.49e-05,1.49e-05
