epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.73831,1.23796,3.88789,1.75389,0.00539,1,0.31022,0.16081,1.09879,4.57676,2.15334,7.14e-06,7.14e-06,7.14e-06
2,14.6831,1.25317,3.91087,1.78297,0.00529,1,0.25867,0.11747,1.06393,4.59293,2.08993,1.43514e-05,1.43514e-05,1.43514e-05
3,21.6619,1.22482,3.89529,1.72476,0.00524,1,0.23377,0.11067,1.06431,4.60897,2.07181,1.2138e-05,1.2138e-05,1.2138e-05
