epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9022,1.4784,4.02648,1.86513,0.00283,0.64815,0.05285,0.03037,1.19918,5.09546,1.91748,3.57e-05,3.57e-05,3.57e-05
2,42.4554,1.26448,4.1213,1.77209,0.00364,0.74074,0.11188,0.06239,1.15428,4.74707,1.86918,7.69849e-05,7.69849e-05,7.69849e-05
3,63.0387,0.99989,3.81368,1.43826,0.00456,0.90741,0.14163,0.0945,1.16663,4.72349,1.76999,0.000116573,0.000116573,0.000116573
4,83.9956,0.91767,3.72294,1.43804,0.00457,0.90741,0.14427,0.10725,1.05586,4.67972,1.60788,0.000154465,0.000154465,0.000154465
5,104.56,1.21375,3.70471,1.62304,0.00426,0.90741,0.20409,0.14048,0.98676,4.66973,1.60614,0.000190661,0.000190661,0.000190661
6,125.367,0.86303,3.39421,1.37211,0.0038,0.90741,0.2349,0.16244,0.99751,4.55034,1.60574,0.00022516,0.00022516,0.00022516
7,146.18,0.88998,3.37067,1.39907,0.0034,0.90741,0.43281,0.29664,1.10787,4.43244,1.70603,0.000257962,0.000257962,0.000257962
8,166.876,0.93484,3.04682,1.37293,0.00331,0.90741,0.43888,0.29933,1.1957,4.34875,1.98811,0.000289069,0.000289069,0.000289069
9,187.352,0.97943,3.06907,1.43324,0.00369,0.90741,0.38575,0.22928,1.25774,4.43321,1.94537,0.000318478,0.000318478,0.000318478
10,207.661,1.00492,2.94426,1.47598,0.00376,0.90741,0.52336,0.27691,1.34922,4.50306,1.98973,0.000346191,0.000346191,0.000346191
11,228.046,1.02454,2.74709,1.47463,0.00398,0.96296,0.4325,0.26445,1.33609,4.43175,1.87266,0.000372208,0.000372208,0.000372208
12,248.36,0.98352,2.81552,1.39618,0.00403,0.96296,0.45066,0.24504,1.29183,4.2387,1.83644,0.000396528,0.000396528,0.000396528
13,268.45,0.99278,2.6636,1.40568,0.80561,0.22222,0.41958,0.20985,1.42161,4.00405,2.25901,0.000419152,0.000419152,0.000419152
14,288.684,0.94011,2.43848,1.34478,0.33296,0.47838,0.34545,0.18656,1.40905,3.90246,2.32548,0.00044008,0.00044008,0.00044008
15,308.871,0.93873,2.3473,1.33544,0.64973,0.37037,0.38092,0.21172,1.35694,3.84602,2.1744,0.00045931,0.00045931,0.00045931
16,329.132,0.94799,2.34547,1.35231,0.83175,0.10795,0.37602,0.22026,1.291,4.05398,1.89968,0.000476845,0.000476845,0.000476845
17,349.327,0.93584,2.22212,1.3486,0.17136,0.53704,0.26432,0.15105,1.33438,4.16285,1.92588,0.000487805,0.000487805,0.000487805
18,369.723,0.96757,2.31048,1.41232,0.44191,0.43144,0.42894,0.27127,1.30541,3.93218,1.93777,0.000473668,0.000473668,0.000473668
19,390.473,0.96477,2.41103,1.33963,0.44193,0.45926,0.52041,0.30044,1.38276,3.7469,2.01357,0.00045953,0.00045953,0.00045953
20,411.028,0.9026,2.08324,1.29555,0.34704,0.46279,0.58813,0.36077,1.3866,3.89479,2.09117,0.000445393,0.000445393,0.000445393
21,431.525,0.88631,2.05883,1.30597,0.52555,0.38444,0.57165,0.35553,1.34262,3.73634,1.98558,0.000431256,0.000431256,0.000431256
22,451.991,0.87514,2.18455,1.30598,0.25754,0.50807,0.53346,0.32677,1.37128,3.55148,1.92252,0.000417119,0.000417119,0.000417119
23,472.484,0.84487,1.8879,1.28509,0.26538,0.45826,0.54797,0.37126,1.33046,3.41558,1.89582,0.000402982,0.000402982,0.000402982
24,492.996,1.01449,2.04891,1.4564,0.51279,0.5,0.52347,0.35976,1.28922,3.32695,1.90154,0.000388844,0.000388844,0.000388844
25,513.481,0.74818,1.974,1.25385,0.55242,0.48314,0.54556,0.37839,1.30181,3.36657,1.92462,0.000374707,0.000374707,0.000374707
26,534.035,0.89041,1.96715,1.34502,0.48939,0.46882,0.51824,0.38053,1.34806,3.4561,1.90752,0.00036057,0.00036057,0.00036057
27,554.669,0.79282,1.74032,1.23029,0.40881,0.5291,0.54923,0.39988,1.33176,3.42757,1.9392,0.000346433,0.000346433,0.000346433
28,575.118,0.85137,1.72631,1.2333,0.7119,0.37953,0.57635,0.40175,1.26634,3.38227,1.93688,0.000332296,0.000332296,0.000332296
29,595.127,0.72819,1.58821,1.20088,0.46875,0.5144,0.56344,0.38272,1.25337,3.28871,1.91506,0.000318158,0.000318158,0.000318158
30,615.321,0.68359,1.55974,1.13884,0.43213,0.59651,0.55443,0.36929,1.26337,3.28893,1.88986,0.000304021,0.000304021,0.000304021
31,635.452,0.81224,1.77556,1.28711,0.39464,0.62963,0.57268,0.38993,1.26655,3.22642,1.88044,0.000289884,0.000289884,0.000289884
32,655.554,0.82219,1.89082,1.28056,0.55737,0.61472,0.58711,0.38403,1.34591,3.14129,1.94818,0.000275747,0.000275747,0.000275747
33,675.569,0.74558,1.6571,1.19402,0.59379,0.62585,0.59277,0.37908,1.32717,3.0932,1.95632,0.00026161,0.00026161,0.00026161
34,695.817,0.77136,1.62688,1.25968,0.45698,0.61293,0.58828,0.37366,1.29881,3.07181,2.01196,0.000247472,0.000247472,0.000247472
35,716.087,0.81897,1.76681,1.3255,0.48442,0.61278,0.58817,0.35355,1.30802,2.97471,2.02236,0.000233335,0.000233335,0.000233335
36,736.75,0.704,1.61047,1.21749,0.58141,0.61,0.60603,0.35637,1.37145,3.05832,2.04005,0.000219198,0.000219198,0.000219198
37,756.865,0.75814,1.68074,1.20714,0.60421,0.61004,0.56586,0.34792,1.3479,3.05914,2.02148,0.000205061,0.000205061,0.000205061
38,776.936,0.7317,1.5859,1.20792,0.59323,0.60609,0.57558,0.35594,1.26571,3.05407,1.96589,0.000190924,0.000190924,0.000190924
39,797.189,0.63961,1.36775,1.107,0.43757,0.62115,0.59788,0.36082,1.23777,3.01034,1.92484,0.000176786,0.000176786,0.000176786
40,817.409,0.72505,1.67786,1.22058,0.51279,0.70632,0.6565,0.42026,1.23826,2.90281,1.90971,0.000162649,0.000162649,0.000162649
41,837.747,0.59877,1.81309,1.18471,0.49246,0.76024,0.72363,0.46986,1.25098,2.88097,1.91419,0.000148512,0.000148512,0.000148512
42,857.86,0.50232,1.7355,1.07865,0.64276,0.6058,0.64953,0.38561,1.27867,3.05497,1.89079,0.000134375,0.000134375,0.000134375
43,877.883,0.55888,1.81896,1.08835,0.59849,0.54206,0.63654,0.37113,1.30511,3.19757,1.89866,0.000120238,0.000120238,0.000120238
